treated;age;education;black;married;nodegree;re74;re75;re78;hispanic;u74;u75
0;30;12;1;0;0;0;0;13613.34961;0;1;1
0;26;8;1;0;1;1126.290039;5562.598145;3523.577881;0;0;0
1;21;12;1;0;0;473.1141968;807.9511108;4350.907227;0;0;0
0;23;11;1;0;1;0;0;4350.907227;0;1;1
0;23;11;1;0;1;7617.361816;5716.407227;10274.83984;0;0;0
1;25;9;1;0;1;1419.343628;1536.50293;1709.342407;0;0;0
1;24;10;1;0;1;4250.401855;2421.947021;1660.508057;0;0;0
1;31;11;1;1;1;0;0;8087.486816;0;1;1
1;18;11;1;0;1;0;0;4814.626953;0;1;1
0;18;11;1;0;1;0;0;11303.13965;0;1;1
0;18;11;1;0;1;788.5233154;2041.363037;796.559021;0;0;0
0;18;11;1;0;1;8784.237305;8784.237305;1824.376587;0;0;0
0;17;10;1;0;1;0;0;2657.705078;0;1;1
0;25;11;1;1;1;0;0;44.75545883;0;1;1
0;19;11;1;0;1;3504.013916;3285.679932;11195.92969;0;0;0
0;19;11;1;0;1;6337.492188;4503.063965;0;0;0;0
0;19;11;1;0;1;1868.021362;1868.021362;0;0;0;0
0;19;11;1;0;1;5217.317383;5160.258789;0;0;0;0
1;19;11;1;0;1;2305.025879;2615.275879;4146.603027;0;0;0
1;19;11;1;0;1;9856.537109;10224.375;11293.80957;0;0;0
0;19;11;1;0;1;946.2277222;1615.901001;8823.05957;0;0;0
0;19;11;1;0;1;393.8598022;393.8598022;2481.518311;0;0;0
1;21;11;1;0;1;2956.965576;2217.724365;4082.369873;0;0;0
0;20;11;1;0;1;7964.086426;8012.085449;18155.83203;0;0;0
0;20;11;1;0;1;2569.724609;2531.311035;0;0;0;0
0;20;11;1;0;1;7967.209473;7967.209473;0;0;0;0
0;20;11;1;0;1;1650.460938;1650.460938;278.875061;0;0;0
0;20;11;1;0;1;1168.056763;1633.202393;1310.726563;0;0;0
1;20;11;1;0;1;3637.498047;1220.83606;1085.439941;0;0;0
0;24;9;1;0;1;2621.842529;4118.680664;597.4199829;0;0;0
0;30;9;0;0;1;3426.299561;3141.916748;1320.922485;0;0;0
0;31;10;1;1;1;0;0;0;0;1;1
0;18;10;1;0;1;678.130188;2456.994141;13674.74609;0;0;0
0;18;10;1;0;1;0;273.5524902;5514.365234;0;1;0
1;18;10;1;0;1;2143.410889;1784.274048;11141.38965;0;0;0
0;28;11;0;1;1;3472.947998;0;6771.62207;1;0;1
1;17;9;1;0;1;0;0;0;0;1;1
1;17;9;1;0;1;375.1047058;375.1047058;3621.707031;0;0;0
1;17;9;1;0;1;1716.509033;1253.438965;5445.200195;0;0;0
0;25;10;1;1;1;0;0;0;0;1;1
0;44;11;1;0;1;0;0;0;0;1;1
0;22;10;1;0;1;0;2174.955078;5344.020996;0;1;0
1;19;10;1;0;1;2959.07666;3213.112793;2975.031494;0;0;0
1;19;10;1;0;1;4121.949219;6056.753906;0;0;0;0
0;21;10;1;0;1;6661.062988;1162.362061;39483.53125;0;0;0
0;29;12;1;0;0;22859.43945;2080.208984;16969.94922;0;0;0
1;29;12;1;0;0;10881.94043;1817.284058;0;0;0;0
0;20;10;1;0;1;825.2301636;825.2301636;0;0;0;0
1;20;10;1;0;1;11073.08887;11073.08887;0;0;0;0
0;20;10;1;0;1;3114.817139;2856.287354;18347.25586;0;0;0
0;20;10;1;0;1;3666.63623;2749.977051;6867.740723;0;0;0
0;20;10;1;0;1;0;0;8598.522461;0;1;1
0;18;9;1;0;1;0;0;0;0;1;1
0;18;9;1;0;1;2138.093994;2138.093994;5767.70459;0;0;0
1;17;8;1;0;1;0;0;0;0;1;1
1;17;8;1;0;1;0;0;0;0;1;1
0;26;10;1;1;1;6140.367188;558.7733765;0;0;0;0
1;26;10;1;1;1;2027.999023;0;0;0;0;1
1;22;9;1;0;1;2192.876953;3836.986084;3462.563965;0;0;0
0;19;9;1;0;1;8409.626953;1778.088989;7171;0;0;0
0;21;9;1;0;1;31886.42969;12357.21973;0;0;0;0
0;20;9;1;0;1;7688.107422;9164.449219;8924.395508;0;0;0
0;20;9;1;0;1;9718.207031;9691.033203;8562.603516;0;0;0
0;31;4;0;0;1;11680.56445;10711.07715;0;0;0;0
0;44;9;1;0;1;0;0;9722.00293;0;1;1
0;18;7;0;1;1;3059.474121;2672.202148;6330.887695;1;0;0
1;19;8;1;0;1;2636.353027;2937.263916;7535.941895;0;0;0
1;21;8;1;0;1;989.2678223;3695.896973;4279.612793;0;0;0
0;19;10;1;1;1;0;0;12797.66992;0;1;1
0;17;10;0;0;1;1203.609009;1239.628052;5088.98584;1;0;0
0;19;9;1;1;1;0;0;16658.25;0;1;1
0;19;6;0;0;1;0;0;5071.800781;1;1;1
0;29;11;1;1;1;0;0;0;0;1;1
0;17;9;0;0;1;0;0;5114.813965;1;1;1
0;25;8;1;1;1;330.9494934;515.8274536;14281.30664;0;0;0
1;29;10;1;1;1;4687.801758;4923.263184;130.6791229;0;0;0
1;24;10;1;1;1;11703.2002;4078.1521;0;0;0;0
0;28;8;0;0;1;0;0;8190.420898;0;1;1
0;33;11;1;0;1;10523.83008;2899.820068;18859.89063;0;0;0
1;21;11;0;0;1;1261.637207;946.2279053;11412.23535;0;0;0
1;26;11;0;0;1;3807.535889;4676.457031;1973.345337;0;0;0
0;28;11;1;1;1;8593.163086;5393.89502;4974.585938;0;0;0
0;23;10;1;1;1;10746.07813;9854.15332;0;0;0;0
0;31;12;1;0;0;0;5613.90918;0;0;1;0
0;31;12;1;0;0;0;0;7284.394043;0;1;1
1;25;11;0;0;1;0;0;18783.34961;0;1;1
1;25;12;1;0;0;3297.249023;2746.608398;2090.678467;0;0;0
1;25;12;1;0;0;0;0;11965.80957;0;1;1
0;24;10;0;0;1;3000.837646;3000.837646;5350.038086;1;0;0
1;18;11;0;0;1;5491.535156;5491.535156;2454.5;1;0;0
0;27;11;1;1;1;1122.620605;1122.620605;215.8348083;0;0;0
1;17;10;0;0;1;2102.502441;2202.796387;4387.057129;1;0;0
0;17;10;0;0;1;1442.68103;1734.55896;6354.193848;1;0;0
0;17;10;0;0;1;4905.119141;1168.901978;11306.26953;1;0;0
1;43;9;1;0;1;0;0;0;0;1;1
1;25;10;0;0;1;5139.447754;4712.874023;6103.746094;0;0;0
0;25;10;0;0;1;8877.210938;8140.402344;3412.954834;0;0;0
0;21;14;1;0;0;0;0;5775.062012;0;1;1
1;21;11;0;0;1;6852.598633;6658.5625;9381.294922;1;0;0
0;21;11;0;0;1;2992.533936;8920.470703;20857.83984;1;0;0
0;17;11;0;0;1;0;0;0;0;1;1
1;18;10;0;0;1;12717.95508;12625.51074;0;1;0;0
0;18;10;0;0;1;0;0;1859.166992;1;1;1
1;27;10;1;1;1;0;0;18739.92969;0;1;1
1;22;10;1;1;1;1468.348022;5588.664063;13228.28027;0;0;0
0;30;13;1;0;0;6073.894531;5569.76123;0;0;0;0
0;23;11;0;0;1;21492.20313;19995.64258;12896.2168;0;0;0
0;19;10;0;0;1;0;0;0;1;1;1
0;19;10;0;0;1;1261.638184;2275.367676;4335.15918;1;0;0
1;18;11;0;0;1;3678.230957;919.5579224;4321.705078;0;0;0
0;27;12;0;0;0;27913.66211;24276.97461;15762.87695;1;0;0
0;17;10;0;0;1;2417.982422;2465.613281;4211.661621;0;0;0
1;26;12;1;0;0;0;0;10747.34961;0;1;1
0;26;12;1;0;0;0;0;0;0;1;1
1;22;11;0;0;1;0;0;1048.432007;0;1;1
0;19;11;0;0;1;823.2543945;823.2543945;2649.598877;0;0;0
0;19;11;0;0;1;0;0;0;0;1;1
1;27;9;1;1;1;0;934.4453735;1773.422974;0;1;0
1;30;12;1;0;0;0;0;24909.44922;0;1;1
0;20;11;0;0;1;1545.507324;1159.130493;0;0;0;0
1;25;8;0;0;1;24415.23438;23096.65234;6421.530273;0;0;0
0;19;9;0;0;1;2686.530029;2750.84082;15581.43652;1;0;0
0;29;14;1;0;0;3357.185303;3357.185303;7226.049316;0;0;0
0;26;10;1;1;1;12143.24121;9107.430664;12659.57617;0;0;0
1;17;9;0;0;1;1618.14978;1618.14978;6011.020996;0;0;0
1;25;11;1;1;1;0;0;0;0;1;1
0;24;8;0;0;1;0;0;10569.26953;0;1;1
1;29;13;1;0;0;0;0;7479.655762;0;1;1
1;25;12;1;0;0;6939.012207;5204.259277;0;0;0;0
0;17;8;0;0;1;0;0;10210.99023;0;1;1
1;28;15;1;0;0;0;0;9598.541016;0;1;1
1;19;9;0;0;1;0;0;13188.83008;0;1;1
1;25;12;1;0;0;14426.79004;2409.273926;0;0;0;0
0;25;10;1;1;1;0;0;0;0;1;1
0;18;8;0;0;1;1168.056396;1345.909424;1725.592407;0;0;0
0;29;12;1;0;0;0;0;1890.937012;0;1;1
0;28;14;1;0;0;7850.584961;6539.537598;3123.116211;0;0;0
0;18;6;0;0;1;6385.374023;6142.680664;3825.307617;1;0;0
0;42;10;1;0;1;0;0;6930.335938;0;1;1
1;23;7;0;0;1;0;0;0;0;1;1
1;18;8;0;1;1;0;0;2787.959961;1;1;1
0;21;11;1;1;1;7652.119629;7652.119629;8396.654297;0;0;0
1;23;10;1;1;1;9462.288086;10495.08398;3385.810791;0;0;0
0;24;12;1;0;0;0;0;0;0;1;1
0;27;13;1;0;0;9593.618164;8797.347656;1653.481201;0;0;0
1;27;13;1;0;0;0;0;0;0;1;1
1;27;13;1;0;0;0;0;14581.86035;0;1;1
0;27;13;1;0;0;0;0;7609.518066;0;1;1
1;27;13;1;0;0;0;0;34099.28125;0;1;1
0;27;12;1;0;0;31166.80859;32984.25;10833.3418;0;0;0
1;27;12;1;0;0;2143.413086;357.9498901;22163.25;0;0;0
0;27;12;1;0;0;3311.801758;2483.851318;3552.268066;0;0;0
0;38;10;1;0;1;0;0;0;0;1;1
1;22;16;1;0;0;0;0;2164.021973;0;1;1
0;26;12;1;0;0;7322.036621;7322.036621;4677.049316;0;0;0
1;22;12;1;0;0;5605.852051;936.1773071;0;0;0;0
0;22;12;1;0;0;0;0;0;0;1;1
0;25;13;1;0;0;10240.35742;10240.35742;10020.71484;0;0;0
0;25;13;1;0;0;3751.047607;3751.047607;1672.776001;0;0;0
1;25;12;1;0;0;0;0;3191.75293;0;1;1
1;25;12;1;0;0;0;0;0;0;1;1
0;25;12;1;0;0;0;0;3418.096924;0;1;1
0;25;12;1;0;0;0;0;0;0;1;1
1;25;12;1;0;0;0;0;2348.9729;0;1;1
1;21;13;1;0;0;0;0;17094.64063;0;1;1
0;25;11;0;1;1;0;0;4485.616211;1;1;1
1;24;12;1;0;0;20580.48047;18154.05469;0;0;0;0
1;24;12;1;0;0;13765.75;2842.763916;6167.681152;0;0;0
1;21;13;1;0;0;27052.1543;24806.82617;8803.666016;0;0;0
0;20;13;1;0;0;9106.676758;8965.243164;9199.5625;0;0;0
1;20;12;1;0;0;989.2678223;165.2077026;0;0;0;0
1;23;12;1;0;0;6614.121582;7841.972168;7947.256836;0;0;0
1;23;12;1;0;0;0;0;0;0;1;1
1;23;12;1;0;0;0;0;4843.175781;0;1;1
1;23;12;1;0;0;6269.34082;3039.959961;8484.239258;0;0;0
0;20;12;1;0;0;0;0;0;0;1;1
1;18;12;1;0;0;0;0;2321.106934;0;1;1
0;18;12;1;0;0;0;1405.511963;0;0;1;0
0;18;12;1;0;0;700.8337402;642.6644897;14444.70996;0;0;0
0;22;12;1;0;0;2590.696289;2158.050049;0;0;0;0
1;22;12;1;0;0;0;0;18678.08008;0;1;1
0;22;12;1;0;0;709.6714478;532.2536011;1333.445068;0;0;0
1;19;12;1;0;0;3042.10376;2534.07251;4551.978516;0;0;0
1;21;12;1;0;0;0;0;1254.582031;0;1;1
1;21;12;1;0;0;0;0;9983.78418;0;1;1
0;21;12;1;0;0;449.0479431;449.0479431;0;0;0;0
0;20;12;1;0;0;6576.286133;4932.214844;6086.966309;0;0;0
1;20;12;1;0;0;1265.394165;1160.366455;702.1838989;0;0;0
1;20;12;1;0;0;8113.89502;6085.421387;9750.660156;0;0;0
0;20;12;1;0;0;0;591.8151245;4159.918945;0;1;0
1;20;12;1;0;0;9227.558594;9227.558594;0;0;0;0
1;20;12;1;0;0;0;377.5686035;1652.636963;0;1;0
0;19;12;1;0;0;8417;2814.195068;1720.906982;0;0;0
1;19;11;0;1;1;5424.484863;5463.803223;6788.462891;1;0;0
0;19;12;1;0;0;0;0;0;0;1;1
1;40;11;1;0;1;0;0;23005.59961;0;1;1
0;18;10;0;1;1;2308.07373;1922.625488;4768.354492;1;0;0
0;27;12;0;0;0;2920.142334;2677.770508;17395.16797;1;0;0
1;20;6;0;1;1;10802.98242;10802.98242;4488.494629;1;0;0
0;36;7;1;0;1;1752.085327;1606.662231;20780.64844;0;0;0
0;24;7;1;0;1;0;0;1455.689941;0;1;1
0;21;8;1;0;1;879.2661133;2237.208496;1764.107666;0;0;0
0;35;11;1;0;1;0;0;0;0;1;1
0;39;9;1;0;1;0;0;0;0;1;1
0;23;12;0;0;0;5721.695801;8960.683594;7078.178223;1;0;0
1;18;12;0;0;0;584.0275269;535.5532837;1115.859619;1;0;0
0;29;9;1;0;1;9268.943359;9160.693359;0;0;0;0
0;36;10;1;0;1;0;0;14690.34961;0;1;1
1;33;8;1;0;1;0;0;289.7898865;0;1;1
0;32;11;1;0;1;0;0;11120.53027;0;1;1
0;39;6;1;0;1;0;0;0;0;1;1
0;38;10;1;0;1;0;0;12429.91016;0;1;1
0;38;8;1;0;1;0;0;0;0;1;1
0;37;10;1;0;1;8606.743164;8606.743164;0;0;0;0
0;20;10;1;0;1;690.1920166;690.1920166;10864.87598;0;0;0
0;36;10;1;0;1;0;0;0;0;1;1
1;27;11;1;0;1;0;0;7506.145996;0;1;1
1;35;10;1;0;1;0;0;4666.23584;0;1;1
0;35;10;1;0;1;9902.762695;9902.762695;9453.827148;0;0;0
0;35;10;1;0;1;0;0;445.8309021;0;1;1
0;25;10;1;0;1;0;0;20942.24023;0;1;1
0;24;11;1;0;1;0;0;14626.38965;0;1;1
1;30;11;1;0;1;0;0;0;0;1;1
0;20;9;0;0;1;0;0;8329.823242;1;1;1
0;23;11;1;0;1;37849.07031;29897.18945;23483.45117;0;0;0
0;34;11;1;0;1;0;0;2920.198975;0;1;1
0;34;11;1;0;1;8912.484375;8912.484375;5611.866211;0;0;0
1;23;10;1;0;1;17131.4668;15709.55566;5665.066406;0;0;0
1;25;8;1;0;1;37431.66016;37431.66016;2346.828125;0;0;0
0;34;10;1;0;1;0;0;7952.540039;0;1;1
0;30;8;1;0;1;0;1706.656982;0;0;1;0
0;21;7;0;0;1;0;0;0;1;1;1
0;34;9;1;0;1;5244.193359;4368.413086;14051.15625;0;0;0
1;20;9;1;0;1;6083.994141;0;8881.665039;0;0;1
0;29;11;1;0;1;0;0;0;0;1;1
0;33;11;1;0;1;0;0;0;0;1;1
